aktinium;Ac
diboran;B2H6
diborid hafnia;HfB2
diborid chromu;CrB2
diborid manganu;MnB2
diborid molybdenu;MoB2
diborid niobu;NbB2
diborid tantalu;TaB2
diborid titanu;TiB2
diborid vanadu;VB2
diborid wolframu;WB2
diborid zirkonia;ZrB2
dibromid-difluorid uhličitý;CBr2F2
dibromid-dichlorid uhličitý;CBr2Cl2
dibromid-dijodid cíničitý;SnBr2I2
dibromid-fluorid fosforitý;PBr2F
dibromid-oxid seleničitý;SeBr2O
dibromid-oxid siřičitý;SBr2O
dibromid-oxid uhličitý;CBr2O
difluorid dikyslíku;O2F2
difluorid kyslíku;OF2
difluorid-dioxid americia;AmF2O2
difluorid-dioxid molybdenový;MoF2O2
difluorid-dioxid neptuniový;NpF2O2
difluorid-dioxid sírový;SF2O2
difluorid-oxid siřičitý;SF2O
difluorid-oxid uhličitý;CF2O
difluorid-oxid vanadičitý;VF2O
difosfan;P2H4
difosfid mědi;CuP2
difosfid niklu;NiP2
difosfid platiny;PtP2
difosfid stříbra;AgP2
difosfid trimanganu;Mn3P2
difosfid wolframu;WP2
difosfid zirkonia;ZrP2
difosforečnan dicínatý;Sn2P2O7
heptaoxodifosforečnan cínatý;
heptaoxodifosforečnan dicínatý;
difosforečnan dihořečnatý;Mg2P2O7
heptaoxodifosforečnan hořečnatý;
heptaoxodifosforečnan dihořečnatý;
difosforečnan dimanganatý;Mn2P2O7
heptaoxodifosforečnan manganatý;
heptaoxodifosforečnan dimanganatý;
difosforečnan dineptunatý;Np2P2O7
heptaoxodifosforečnan neptunatý;
heptaoxodifosforečnan dineptunatý;
difosforečnan divápenatý;Ca2P2O7
heptaoxodifosforečnan vápenatý;
heptaoxodifosforečnan divápenatý;
difosforečnan hafničitý;HfP2O7
heptaoxodifosforečnan hafničitý;
difosforečnan platičitý;PtP2O7
heptaoxodifosforečnan platičitý;
difosforečnan plutoničitý;PuP2O7
heptaoxodifosforečnan plutoničitý;
difosforečnan tetrasodný;Na4P2O7
heptaoxodifosforečnan sodný;
heptaoxodifosforečnan tetrasodný;
difosforečnan tetrastříbrný;Ag4P2O7
heptaoxodifosforečnan stříbrný;
heptaoxodifosforečnan tetrastříbrný;
difosforečnan tetrathallný;Tl4P2O7
heptaoxodifosforečnan thallný;
heptaoxodifosforečnan tetrathallný;
difosforečnan zirkoničitý;ZrP2O7
heptaoxodifosforečnan zirkoničitý;
dihydrát arseničnanu triželeznatého;Fe3(AsO4)2.2H2O
dihydrát tetraoxoarseničnanu železnatého;
dihydrát tetraoxoarseničnanu triželeznatého;
bis(arseničnan) triželeznatý dihydrát;
dihydrát boritanu sodného;NaBO2.2H2O
dihydrát dioxoboritanu sodného;
dihydrát bromičnanu rtuťnatého;Hg(BrO3)2.2H2O
dihydrát trioxobromičnanu rtuťnatého;
bis(bromičnan) rtuťnatý dihydrát;
dihydrát bromidu barnatého;BaBr2.2H2O
dihydrát bromidu radijnatého;RaBr2.2H2O
dihydrát bromidu sodného;NaBr.2H2O
dihydrát dihydrogenfosforečnanu kademnatého;Cd(H2PO4)2.2H2O
dihydrát dihydrogentetraoxofosforečnanu kademnatého;
bis(dihydrogenfosforečnan) kademnatý dihydrát;
dihydrát dichromanu měďnatého;CuCr2O7.2H2O
dihydrát heptaoxodichromanu měďnatého;
dihydrát dichromanu sodného;Na2Cr2O7.2H2O
dihydrát dichromanu disodného;
dihydrát heptaoxodichromanu sodného;
dihydrát heptaoxodichromanu disodného;
dihydrát dithionanu sodného;Na2S2O6.2H2O
dihydrát dithionanu stříbrného;Ag2S2O6.2H2O
dihydrát dusičnanu rhoditého;Rh(NO3)3.2H2O
dihydrát trioxodusičnanu rhoditého;
tris(dusičnan) rhoditý dihydrát;
dihydrát dusičnanu rtuťného;HgNO3.2H2O
dihydrát trioxodusičnanu rtuťného;Hg2(NO3)2.2H2O
dihydrát dusičnanu uranylu;UO2(NO3)2.2H2O
dihydrát fluoridu boritého;BF3.2H2O
dihydrát fluoridu draselného;KF.2H2O
dihydrát fluoridu měďnatého;CuF2.2H2O
dihydrát fluoridu stříbrného;AgF.2H2O
dihydrát fosforečnanu železitého;FePO4.2H2O
dihydrát tetraoxofosforečnanu železitého;
dihydrát hydrogenfosforečnanu sodného;Na2HPO4.2H2O
dihydrát hydrogenfosforečnanu disodného;
dihydrát hydrogentetraoxofosforečnanu sodného;
dihydrát hydrogentetraoxofosforečnanu disodného;
dihydrát hydrogenfosforečnanu vápenatého;CaHPO4.2H2O
dihydrát hydrogentetraoxofosforečnanu vápenatého;
dihydrát chlorečnanu kademnatého;Cd(ClO3)2.2H2O
dihydrát trioxochlorečnanu kademnatého;
bis(chlorečnan) kademnatý dihydrát;
dihydrát chloridu barnatého;BaCl2.2H2O
dihydrát chloridu cínatého;SnCl2.2H2O
dihydrát chloridu kobaltnatého;CoCl2.2H2O
dihydrát chloridu manganatého;MnCl2.2H2O
dihydrát chloridu měďnatého;CuCl2.2H2O
dihydrát chloridu měďného;CuCl.2H2O
;Cu2Cl2.2H2O
dihydrát chloridu nikelnatého;NiCl2.2H2O
dihydrát chloridu radijnatého;RaCl2.2H2O
dihydrát chloridu strontnatého;SrCl2.2H2O
dihydrát chloridu vápenatého;CaCl2.2H2O
dihydrát chloridu železitého;FeCl3.2H2O
dihydrát chloridu železnatého;FeCl2.2H2O
dihydrát chloritanu kademnatého;Cd(ClO2)2.2H2O
dihydrát dioxochloritanu kademnatého;
bis(chloritan) kademnatý dihydrát;
dihydrát jodičnanu ceritého;Ce(IO3)3.2H2O
dihydrát trioxojodičnanu ceritého;
tris(jodičnan) ceritý dihydrát;
dihydrát jodičnanu kobaltnatého;Co(IO3)2.2H2O
dihydrát trioxojodičnanu kobaltnatého;
bis(jodičnan) kobaltnatý dihydrát;
dihydrát jodičnanu nikelnatého;Ni(IO3)2.2H2O
dihydrát trioxojodičnanu nikelnatého;
bis(jodičnan) nikelnatý dihydrát;
dihydrát jodičnanu zinečnatého;Zn(IO3)2.2H2O
dihydrát trioxojodičnanu zinečnatého;
bis(jodičnan) zinečnatý dihydrát;
dihydrát jodidu sodného;NaI.2H2O
dihydrát kyanidu kobaltnatého;Co(CN)2.2H2O
dihydrát selenanu kademnatého;CdSeO4.2H2O
dihydrát tetraoxoselenanu kademnatého;
dihydrát selenanu manganatého;MnSeO4.2H2O
dihydrát tetraoxoselenanu manganatého;
dihydrát selenanu vápenatého;CaSeO4.2H2O
dihydrát tetraoxoselenanu vápenatého;
dihydrát seleničitanu měďnatého;CuSeO3.2H2O
dihydrát trioxoseleničitanu měďnatého;
dihydrát síranu cíničitého;Sn(SO4)2.2H2O
dihydrát tetraoxosíranu cíničitého;
bis(síran) cíničitý dihydrát;
dihydrát síranu vápenatého;CaSO4.2H2O
dihydrát tetraoxosíranu vápenatého;
dihydrát siřičitanu zinečnatého;ZnSO3.2H2O
dihydrát trioxosiřičitanu zinečnatého;
dihydrát telluranu dibismutitého;Bi2TeO6.2H2O
dihydrát hexaoxotelluranu bismutitého;
dihydrát hexaoxotelluranu dibismutitého;
dihydrát tetrathionanu sodného;Na2S4O6.2H2O
dihydrát thiosíranu sodného;Na2S2O3.2H2O
dihydrát wolframanu draselného;K2WO4.2H2O
dihydrát wolframanu didraselného;
dihydrát tetraoxowolframanu draselného;
dihydrát tetraoxowolframanu didraselného;
dihydrát wolframanu sodného;Na2WO4.2H2O
dihydrát wolframanu disodného;
dihydrát tetraoxowolframanu sodného;
dihydrát tetraoxowolframanu disodného;
dihydrogenarseničnan amonný;NH4H2AsO4
dihydrogentetraoxoarseničnan amonný;
dihydrogenarseničnan draselný;KH2AsO4
dihydrogentetraoxoarseničnan draselný;
dihydrogendisulfan;H2S2
dihydrogenfosforečnan amonný;NH4H2PO4
dihydrogentetraoxofosforečnan amonný;
dihydrogenfosforečnan cínatý;Sn(H2PO4)2
dihydrogentetraoxofosforečnan cínatý;
bis(dihydrogenfosforečnan) cínatý;
dihydrogenfosforečnan draselný;KH2PO4
dihydrogentetraoxofosforečnan draselný;
dihydrogenfosforečnan sodný;NaH2PO4
dihydrogentetraoxofosforečnan sodný;
dihydrogenfosforečnan thallný;TlH2PO4
dihydrogentetraoxofosforečnan thallný;
dihydrogenfosforečnan vápenatý;Ca(H2PO4)2
dihydrogentetraoxofosforečnan vápenatý;
bis(dihydrogenfosforečnan) vápenatý;
dihydrogenfosforitan draselný;KH2PO3
dihydrogentrioxofosforitan draselný;
dihydrogenpentasulfan;H2S5
dihydrogentetrasulfan;H2S4
dihydrogentrisulfan;H2S3
dichlorgerman;GeH2Cl2
dichlorid hexahydroxotetracínatý;[Sn4(OH)6]Cl2
dichlorid-difluorid uhličitý;CCl2F2
dichlorid-dijodid cíničitý;SnCl2I2
dichlorid-dioxid molybdenový;MoCl2O2
dichlorid-dioxid sírový;SCl2O2
dichlorid-dioxid wolframový;WCl2O2
dichlorid-oxid neptuničitý;NpCl2O
dichlorid-oxid protaktiničitý;PaCl2O
dichlorid-oxid seleničitý;SeCl2O
dichlorid-oxid siřičitý;SCl2O
dichlorid-oxid uhličitý;CCl2O
dichlorid-oxid vanadičitý;VCl2O
dichlorid-pentaoxid antimonitý;Sb4Cl2O5
dichlorid-sulfid uhličitý;CCl2S
dichroman amonný;(NH4)2Cr2O7
dichroman diamonný;
heptaoxodichroman amonný;
heptaoxodichroman diamonný;
dichroman barnatý;BaCr2O7
heptaoxodichroman barnatý;
dichroman cesný;Cs2Cr2O7
