aktinium;Ac
hydroxid železitý;Fe(OH)3
hydroxid železnatý;Fe(OH)2
hydroxylamin;NH2OH
hyperoxid cesný;CsO2
hyperoxid draselný;KO2
;K2O4
hyperoxid sodný;NaO2
chlor;Cl
chlorečnan barnatý;Ba(ClO3)2
trioxochlorečnan barnatý;
bis(chlorečnan) barnatý;
chlorečnan cesný;CsClO3
trioxochlorečnan cesný;
chlorečnan draselný;KClO3
trioxochlorečnan draselný;
chlorečnan rtuťnatý;Hg(ClO3)2
trioxochlorečnan rtuťnatý;
bis(chlorečnan) rtuťnatý;
chlorečnan rtuťný;HgClO3
trioxochlorečnan rtuťný;Hg2(ClO3)2
chlorečnan rubidný;RbClO3
trioxochlorečnan rubidný;
chlorečnan sodný;NaClO3
trioxochlorečnan sodný;
chlorečnan strontnatý;Sr(ClO3)2
trioxochlorečnan strontnatý;
bis(chlorečnan) strontnatý;
chlorečnan stříbrný;AgClO3
trioxochlorečnan stříbrný;
chlorečnan thallný;TlClO3
trioxochlorečnan thallný;
chlorečnan vápenatý;Ca(ClO3)2
trioxochlorečnan vápenatý;
bis(chlorečnan) vápenatý;
chlorid aktinitý;AcCl3
chlorid americitý;AmCl3
chlorid amonný;NH4Cl
chlorid antimoničný;SbCl5
chlorid antimonitý;SbCl3
chlorid arsenitý;AsCl3
chlorid barnatý;BaCl2
chlorid beryllnatý;BeCl2
chlorid bismutitý;BiCl3
chlorid boritý;BCl3
chlorid ceritý;CeCl3
chlorid cesný;CsCl
chlorid cínatý;SnCl2
chlorid cíničitý;SnCl4
tetrachlorstanan;
chlorid curitý;CmCl3
chlorid diamminrtuťnatý;[Hg(NH3)2]Cl2
chlorid diamminzinečnatý;[Zn(NH3)2]Cl2
chlorid draselný;KCl
chlorid dysprositý;DyCl3
chlorid erbitý;ErCl3
chlorid europitý;EuCl3
chlorid europnatý;EuCl2
chlorid fosfonia;PH4Cl
chlorid fosforečný;PCl5
chlorid fosforitý;PCl3
chlorid fosforylu;POCl3
chlorid gadolinitý;GdCl3
chlorid gallitý;GaCl3
chlorid gallnatý;GaCl2
chlorid germaničitý;GeCl4
chlorid hafničitý;HfCl4
chlorid hexaamminiriditý;[Ir(NH3)6]Cl3
chlorid hexaamminkobaltitý;[Co(NH3)6]Cl3
chlorid hexaamminkobaltnatý;[Co(NH3)6]Cl2
chlorid hexaamminměďnatý;[Cu(NH3)6]Cl2
chlorid hexaamminnikelnatý;[Ni(NH3)6]Cl2
chlorid hexaamminrhoditý;[Rh(NH3)6]Cl3
chlorid hexaamminzinečnatý;[Zn(NH3)6]Cl2
chlorid hexaaquachromitý;[Cr(H2O)6]Cl3
chlorid hlinitý;AlCl3
chlorid holmitý;HoCl3
chlorid hořečnatý;MgCl2
chlorid chromičitý;CrCl4
chlorid chromitý;CrCl3
chlorid chromnatý;CrCl2
chlorid chromylu;CrO2Cl2
chlorid inditý;InCl3
chlorid indný;InCl
chlorid iriditý;IrCl3
chlorid joditý;ICl3
chlorid jodný;ICl
chlorid kademnatý;CdCl2
chlorid kalifornitý;CfCl3
chlorid karbonylu;COCl2
chlorid kobaltnatý;CoCl2
chlorid křemičitý;SiCl4
tetrachlorsilan;
chlorid lanthanitý;LaCl3
chlorid lithný;LiCl
chlorid lutecitý;LuCl3
chlorid manganatý;MnCl2
chlorid manganitý;MnCl3
chlorid měďnatý;CuCl2
chlorid měďný;CuCl
;Cu2Cl2
chlorid molybdenatý;MoCl2
chlorid molybdeničitý;MoCl4
chlorid molybdeničný;MoCl5
chlorid molybdenitý;MoCl3
chlorid neodymitý;NdCl3
chlorid neodymnatý;NdCl2
chlorid neptuničitý;NpCl4
chlorid neptunitý;NpCl3
chlorid nikelnatý;NiCl2
chlorid niobičitý;NbCl4
chlorid niobičný;NbCl5
chlorid nitrosylu;NOCl
chlorid nitrylu;NO2Cl
chlorid olovičitý;PbCl4
chlorid olovnatý;PbCl2
chlorid osmičitý;OsCl4
chlorid osmitý;OsCl3
chlorid palladnatý;PdCl2
chlorid pentaammin-aquakobaltitý;[Co(NH3)5H2O]Cl3
chlorid pentaammin-chlorochromitý;[Cr(NH3)5Cl]Cl2
chlorid platičitý;PtCl4
chlorid platnatý;PtCl2
chlorid plutonitý;PuCl3
chlorid polonatý;PoCl2
chlorid poloničitý;PoCl4
chlorid praseodymitý;PrCl3
chlorid promethitý;PmCl3
chlorid protaktiničitý;PaCl4
chlorid protaktiničný;PaCl5
chlorid radijnatý;RaCl2
chlorid rheničný;ReCl5
chlorid rhenitý;ReCl3
chlorid rhoditý;RhCl3
chlorid rtuťnatý;HgCl2
chlorid rtuťný;HgCl
;Hg2Cl2
chlorid rubidný;RbCl
chlorid ruthenitý;RuCl3
chlorid samaritý;SmCl3
chlorid samarnatý;SmCl2
chlorid seleničitý;SeCl4
chlorid selenný;SeCl
;Se2Cl2
chlorid sirnatý;SCl2
dichlorsulfan;
chlorid sirný;SCl
;S2Cl2
chlorid siřičitý;SCl4
chlorid skanditý;ScCl3
chlorid sodný;NaCl
chlorid strontnatý;SrCl2
chlorid stříbrný;AgCl
chlorid tantaličitý;TaCl4
chlorid tantaličný;TaCl5
chlorid tantalitý;TaCl3
chlorid telluričitý;TeCl4
chlorid tellurnatý;TeCl2
chlorid terbitý;TbCl3
chlorid tetraamminpalladnatý;[Pd(NH3)4]Cl2
chlorid thallitý;TlCl3
chlorid thallný;TlCl
chlorid thiofosforylu;PSCl3
chlorid thoričitý;ThCl4
chlorid thulitý;TmCl3
chlorid titanatý;TiCl2
chlorid titaničitý;TiCl4
chlorid titanitý;TiCl3
chlorid uhličitý;CCl4
chlorid uraničitý;UCl4
chlorid uraničný;UCl5
chlorid uranitý;UCl3
chlorid uranový;UCl6
chlorid uranylu;UO2Cl2
chlorid vanadičitý;VCl4
chlorid vanaditý;VCl3
chlorid vanadnatý;VCl2
chlorid vanadylu;VOCl3
chlorid vápenatý;CaCl2
chlorid wolframičitý;WCl4
chlorid wolframičný;WCl5
chlorid wolframnatý;WCl2
chlorid wolframový;WCl6
chlorid ytterbitý;YbCl3
chlorid ytterbnatý;YbCl2
chlorid yttritý;YCl3
chlorid zinečnatý;ZnCl2
chlorid zirkonatý;ZrCl2
chlorid zirkoničitý;ZrCl4
chlorid zirkonitý;ZrCl3
chlorid zlatitý;AuCl3
chlorid zlatný;AuCl
chlorid železitý;FeCl3
chlorid železnatý;FeCl2
chlorid-hydroxid kademnatý;CdCl(OH)
chlorid-hydroxid měďnatý;CuCl(OH)
chlorid-oxid aktinitý;AcClO
chlorid-oxid americitý;AmClO
chlorid-oxid antimonitý;SbClO
chlorid-oxid berkelitý;BkClO
chlorid-oxid bismutitý;BiClO
chlorid-oxid ceritý;CeClO
chlorid-oxid dysprositý;DyClO
chlorid-oxid erbitý;ErClO
chlorid-oxid europitý;EuClO
chlorid-oxid gadolinitý;GdClO
chlorid-oxid holmitý;HoClO
chlorid-oxid kalifornitý;CfClO
chlorid-oxid lanthanitý;LaClO
chlorid-oxid neodymitý;NdClO
chlorid-oxid plutonitý;PuClO
chlorid-oxid promethitý;PmClO
chlorid-oxid samaritý;SmClO
chlorid-oxid terbitý;TbClO
chlorid-oxid vanaditý;VClO
chlorid-oxid yttritý;YClO
chlorid-selenid bismutitý;BiClSe
chlorid-sulfid bismutitý;BiClS
chlorid-trifluorid uhličitý;CClF3
chlorid-trihydroxid měďnatý;Cu2Cl(OH)3
chlorid-trioxid rhenistý;ReClO3
chlorid-tris(fosforečnan) pentavápenatý;Ca5Cl(PO4)3
chloristan amonný;NH4ClO4
tetraoxochloristan amonný;
chloristan barnatý;Ba(ClO4)2
tetraoxochloristan barnatý;
bis(chloristan) barnatý;
chloristan cesný;CsClO4
tetraoxochloristan cesný;
chloristan draselný;KClO4
tetraoxochloristan draselný;
chloristan hořečnatý;Mg(ClO4)2
tetraoxochloristan hořečnatý;
bis(chloristan) hořečnatý;
chloristan lithný;LiClO4
tetraoxochloristan lithný;
chloristan manganatý;Mn(ClO4)2
tetraoxochloristan manganatý;
bis(chloristan) manganatý;
chloristan nitrosylu;NOClO4
chloristan nitrylu;NO2ClO4
chloristan rubidný;RbClO4
tetraoxochloristan rubidný;
chloristan sodný;NaClO4
tetraoxochloristan sodný;
chloristan strontnatý;Sr(ClO4)2
tetraoxochloristan strontnatý;
bis(chloristan) strontnatý;
chloristan stříbrný;AgClO4
tetraoxochloristan stříbrný;
chloristan tetraamminměďnatý;[Cu(NH3)4](ClO4)2
chloristan thallný;TlClO4
tetraoxochloristan thallný;
chloristan vápenatý;Ca(ClO4)2
tetraoxochloristan vápenatý;
bis(chloristan) vápenatý;
chloritan sodný;NaClO2
dioxochloritan sodný;
chloritan stříbrný;AgClO2
dioxochloritan stříbrný;
chlorkyan;ClCN
chlorid kyanu;
chlornan sodný;NaClO
chlornan vápenatý;Ca(ClO)2
chloro-trioxochroman draselný;K[CrClO3]
chlorodusík;NCl3
trichloramin;
chlorovodík;HCl
chrom;Cr
chroman amonný;(NH4)2CrO4
chroman diamonný;
tetraoxochroman amonný;
tetraoxochroman diamonný;
chroman barnatý;BaCrO4
tetraoxochroman barnatý;
chroman cesný;Cs2CrO4
chroman dicesný;
tetraoxochroman cesný;
tetraoxochroman dicesný;
chroman draselný;K2CrO4
chroman didraselný;
tetraoxochroman draselný;
tetraoxochroman didraselný;
chroman hořečnatý;MgCrO4
tetraoxochroman hořečnatý;
chroman olovnatý;PbCrO4
tetraoxochroman olovnatý;
chroman rtuťnatý;HgCrO4
tetraoxochroman rtuťnatý;
chroman rtuťný;Hg2CrO4
chroman dirtuťný;
tetraoxochroman rtuťný;
tetraoxochroman dirtuťný;
chroman rubidný;Rb2CrO4
chroman dirubidný;
tetraoxochroman rubidný;
tetraoxochroman dirubidný;
chroman sodný;Na2CrO4
chroman disodný;
tetraoxochroman sodný;
tetraoxochroman disodný;
chroman stříbrný;Ag2CrO4
chroman distříbrný;
tetraoxochroman stříbrný;
tetraoxochroman distříbrný;
chroman thallný;Tl2CrO4
chroman dithallný;
tetraoxochroman thallný;
tetraoxochroman dithallný;
chroman vápenatý;CaCrO4
tetraoxochroman vápenatý;
chroman zinečnatý;ZnCrO4
tetraoxochroman zinečnatý;
imid vápenatý;CaNH
indium;In
iridium;Ir
isokyanatan stříbrný;AgNCO
jod;I
jodičnan amonný;NH4IO3
trioxojodičnan amonný;
jodičnan ceričitý;Ce(IO3)4
trioxojodičnan ceričitý;
tetrakis(jodičnan) ceričitý;
jodičnan cesný;CsIO3
trioxojodičnan cesný;
jodičnan draselný;KIO3
trioxojodičnan draselný;
jodičnan inditý;In(IO3)3
trioxojodičnan inditý;
tris(jodičnan) inditý;
jodičnan kademnatý;Cd(IO3)2
trioxojodičnan kademnatý;
bis(jodičnan) kademnatý;
jodičnan kobaltnatý;Co(IO3)2
trioxojodičnan kobaltnatý;
bis(jodičnan) kobaltnatý;
jodičnan lanthanitý;La(IO3)3
trioxojodičnan lanthanitý;
tris(jodičnan) lanthanitý;
jodičnan manganatý;Mn(IO3)2
trioxojodičnan manganatý;
bis(jodičnan) manganatý;
jodičnan měďnatý;Cu(IO3)2
trioxojodičnan měďnatý;
bis(jodičnan) měďnatý;
jodičnan nikelnatý;Ni(IO3)2
trioxojodičnan nikelnatý;
bis(jodičnan) nikelnatý;
jodičnan olovnatý;Pb(IO3)2
trioxojodičnan olovnatý;
bis(jodičnan) olovnatý;
jodičnan radijnatý;Ra(IO3)2
trioxojodičnan radijnatý;
bis(jodičnan) radijnatý;
jodičnan rtuťnatý;Hg(IO3)2
trioxojodičnan rtuťnatý;
bis(jodičnan) rtuťnatý;
jodičnan rtuťný;HgIO3
trioxojodičnan rtuťný;Hg2(IO3)2
jodičnan rubidný;RbIO3
trioxojodičnan rubidný;
jodičnan sodný;NaIO3
trioxojodičnan sodný;
jodičnan strontnatý;Sr(IO3)2
trioxojodičnan strontnatý;
bis(jodičnan) strontnatý;
jodičnan stříbrný;AgIO3
trioxojodičnan stříbrný;
jodičnan thallný;TlIO3
trioxojodičnan thallný;
jodičnan thoričitý;Th(IO3)4
trioxojodičnan thoričitý;
tetrakis(jodičnan) thoričitý;
jodičnan uranylu;UO2(IO3)2
jodičnan vápenatý;Ca(IO3)2
trioxojodičnan vápenatý;
bis(jodičnan) vápenatý;
jodičnan zinečnatý;Zn(IO3)2
trioxojodičnan zinečnatý;
bis(jodičnan) zinečnatý;
jodid aktinitý;AcI3
jodid americitý;AmI3
jodid amonný;NH4I
jodid antimonitý;SbI3
jodid arsenitý;AsI3
jodid barnatý;BaI2
jodid berkelitý;BkI3
jodid beryllnatý;BeI2
jodid bismutitý;BiI3
jodid boritý;BI3
jodid ceritý;CeI3
jodid cesný;CsI
jodid cínatý;SnI2
jodid cíničitý;SnI4
jodid curitý;CmI3
jodid diamminrtuťnatý;[Hg(NH3)2]I2
jodid draselný;KI
jodid dysprositý;DyI3
jodid erbitý;ErI3
jodid europitý;EuI3
jodid europnatý;EuI2
jodid fosfonia;PH4I
jodid fosforitý;PI3
jodid gadolinatý;GdI2
jodid gadolinitý;GdI3
jodid gallitý;GaI3
jodid germaničitý;GeI4
jodid hexaamminkobaltnatý;[Co(NH3)6]I2
jodid hexaamminměďnatý;[Cu(NH3)6]I2
jodid hexaamminnikelnatý;[Ni(NH3)6]I2
jodid hlinitý;AlI3
jodid holmitý;HoI3
jodid hořečnatý;MgI2
jodid chromitý;CrI3
jodid chromnatý;CrI2
jodid inditý;InI3
jodid indný;InI
jodid iriditý;IrI3
jodid kademnatý;CdI2
jodid kalifornitý;CfI3
jodid kobaltnatý;CoI2
jodid lanthanitý;LaI3
jodid lithný;LiI
jodid lutecitý;LuI3
jodid manganatý;MnI2
jodid měďný;CuI
jodid molybdenatý;MoI2
jodid neodymitý;NdI3
jodid neptunitý;NpI3
jodid nikelnatý;NiI2
jodid niobičitý;NbI4
jodid niobičný;NbI5
jodid olovnatý;PbI2
jodid osmičitý;OsI4
jodid palladnatý;PdI2
jodid platičitý;PtI4
jodid platitý;PtI3
jodid platnatý;PtI2
jodid plutonitý;PuI3
jodid poloničitý;PoI4
jodid praseodymitý;PrI3
jodid protaktiničitý;PaI4
jodid protaktiničný;PaI5
jodid protaktinitý;PaI3
jodid rhoditý;RhI3
jodid rtuťnatý;HgI2
jodid rtuťný;HgI
;Hg2I2
jodid rubidný;RbI
jodid ruthenitý;RuI3
jodid samaritý;SmI3
jodid samarnatý;SmI2
jodid skanditý;ScI3
jodid sodný;NaI
jodid stříbrný;AgI
jodid tantaličný;TaI5
jodid telluričitý;TeI4
jodid terbitý;TbI3
jodid thallitý;TlI3
jodid thallný;TlI
jodid thoričitý;ThI4
jodid thulitý;TmI3
jodid titanatý;TiI2
jodid titaničitý;TiI4
jodid uhličitý;CI4
jodid uraničitý;UI4
jodid uranitý;UI3
jodid uranylu;UO2I2
jodid vanaditý;VI3
jodid vanadnatý;VI2
jodid vápenatý;CaI2
jodid wolframičitý;WI4
jodid wolframnatý;WI2
jodid ytterbitý;YbI3
jodid ytterbnatý;YbI2
jodid yttritý;YI3
jodid zinečnatý;ZnI2
jodid zirkoničitý;ZrI4
jodid zlatitý;AuI3
jodid zlatný;AuI
jodid železnatý;FeI2
jodid-hydroxid olovnatý;PbI(OH)
jodid-oxid berkelitý;BkIO
jodid-oxid bismutitý;BiIO
jodid-oxid kalifornitý;CfIO
jodid-oxid plutonitý;PuIO
jodid-selenid bismutitý;BiISe
jodid-sulfid bismutitý;BiIS
jodid-tellurid bismutitý;BiITe
jodistan cesný;CsIO4
tetraoxojodistan cesný;
jodistan draselný;KIO4
tetraoxojodistan draselný;
jodistan rubidný;RbIO4
tetraoxojodistan rubidný;
jodistan sodný;NaIO4
tetraoxojodistan sodný;
jodistan stříbrný;AgIO4
tetraoxojodistan stříbrný;
jodkyan;ICN
jodid kyanu;
jodovodík;HI
kadmium;Cd
kalifornium;Cf
karbid barnatý;BaC2
karbid beryllnatý;Be2C
karbid boru;B4C
karbid dikobaltu;Co2C
karbid dimolybdenu;Mo2C
karbid diniobu;Nb2C
karbid ditantalu;Ta2C
karbid diwolframu;W2C
karbid hafnia;HfC
karbid křemíku;SiC
karbid molybdenu;MoC
karbid niobu;NbC
karbid strontnatý;SrC2
karbid tantalu;TaC
karbid titanu;TiC
karbid trimanganu;Mn3C
karbid triniklu;Ni3C
karbid triželeza;Fe3C
karbid vanadu;VC
karbid vápníku;CaC2
acetylid vápenatý;
karbid wolframu;WC
karbid zirkonia;ZrC
karbonylboran;BH3CO
kobalt;Co
krypton;Kr
křemičitan diberyllnatý;Be2SiO4
tetraoxokřemičitan beryllnatý;
tetraoxokřemičitan diberyllnatý;
křemičitan dihořečnatý;Mg2SiO4
tetraoxokřemičitan hořečnatý;
tetraoxokřemičitan dihořečnatý;
křemičitan diolovnatý;Pb2SiO4
tetraoxokřemičitan olovnatý;
tetraoxokřemičitan diolovnatý;
křemičitan divápenatý;Ca2SiO4
tetraoxokřemičitan vápenatý;
tetraoxokřemičitan divápenatý;
křemičitan dizinečnatý;Zn2SiO4
tetraoxokřemičitan zinečnatý;
tetraoxokřemičitan dizinečnatý;
křemičitan draselný;K2SiO3
křemičitan didraselný;
trioxokřemičitan draselný;
trioxokřemičitan didraselný;
křemičitan hořečnatý;MgSiO3
trioxokřemičitan hořečnatý;
křemičitan kademnatý;CdSiO3
trioxokřemičitan kademnatý;
křemičitan lithný;Li2SiO3
křemičitan dilithný;
trioxokřemičitan lithný;
trioxokřemičitan dilithný;
křemičitan manganatý;MnSiO3
trioxokřemičitan manganatý;
křemičitan olovnatý;PbSiO3
trioxokřemičitan olovnatý;
křemičitan sodný;Na2SiO3
křemičitan disodný;
trioxokřemičitan sodný;
trioxokřemičitan disodný;
křemičitan tetralithný;Li4SiO4
tetraoxokřemičitan lithný;
tetraoxokřemičitan tetralithný;
křemičitan tetrasodný;Na4SiO4
tetraoxokřemičitan sodný;
tetraoxokřemičitan tetrasodný;
křemičitan thoričitý;ThSiO4
tetraoxokřemičitan thoričitý;
křemičitan vápenatý;CaSiO3
trioxokřemičitan vápenatý;
křemičitan zinečnatý;ZnSiO3
trioxokřemičitan zinečnatý;
křemičitan zirkoničitý;ZrSiO4
tetraoxokřemičitan zirkoničitý;
křemík;Si
kyanamid;NH2CN
karbamonitril;
kyanamid olovnatý;PbCN2
kyanamid vápenatý;CaCN2
kyanatan amonný;NH4OCN
kyanatan draselný;KOCN
kyanatan fosforitý;P(OCN)3
kyanatan křemičitý;Si(OCN)4
kyanatan sodný;NaOCN
kyanatan thallný;TlOCN
kyanid amonný;NH4CN
kyanid cesný;CsCN
kyanid draselný;KCN
kyanid fosforitý;P(CN)3
kyanid kademnatý;Cd(CN)2
kyanid kobaltnatý;Co(CN)2
kyanid měďný;CuCN
kyanid nikelnatý;Ni(CN)2
kyanid palladnatý;Pd(CN)2
kyanid platnatý;Pt(CN)2
kyanid rtuťnatý;Hg(CN)2
kyanid rtuťný;HgCN
;Hg2(CN)2
kyanid rubidný;RbCN
kyanid sodný;NaCN
kyanid stříbrný;AgCN
kyanid thallný;TlCN
kyanid vápenatý;Ca(CN)2
kyanid zinečnatý;Zn(CN)2
kyanid zlatný;AuCN
kyanovodík;HCN
kyselina azidovodíková;HN3
kyselina boritá;HBO2
kyselina dioxoboritá;
kyselina hydrogenboritá;
kyselina bromičná;HBrO3
kyselina bromistá;HBrO4
kyselina bromná;HBrO
kyselina bromovodíková;HBr
kyselina dichromová;H2Cr2O7
kyselina heptaoxodichromová;
kyselina dihydrogendichromová;
kyselina dioxofosforná;H3PO2
kyselina trihydrogenfosforná;
kyselina diperoxouhličitá;H2C2O5
kyselina disírová;H2S2O7
kyselina heptaoxodisírová;
kyselina dihydrogendisírová;
kyselina disiřičitá;H2S2O5
kyselina pentaoxodisiřičitá;
kyselina dihydrogendisiřičitá;
kyselina dithiomolybdenová;H2MoO2S2
kyselina dithioničitá;H2S2O4
kyselina dithionová;H2S2O6
kyselina dusičná;HNO3
kyselina dusitá;HNO2
kyselina fluorosírová;HSO3F
kyselina fluorovodíková;HF
kyselina fosforečná;HPO3
kyselina trioxofosforečná;
kyselina hydrogenfosforečná;
kyselina fulminová;HONC
kyselina heptaoxodifosforečná;H4P2O7
kyselina tetrahydrogendifosforečná;
kyselina heptaoxodikřemičitá;H6Si2O7
kyselina hexahydrogendikřemičitá;
kyselina hexaoxojodistá;H5IO6
kyselina pentahydrogenjodistá;
kyselina hexaoxotellurová;H6TeO6
kyselina hexahydrogentellurová;
kyselina chlorečná;HClO3
kyselina chloristá;HClO4
kyselina chloritá;HClO2
kyselina chlorná;HClO
kyselina chlorovodíková;HCl
kyselina chromová;H2CrO4
kyselina tetraoxochromová;
kyselina dihydrogenchromová;
kyselina isokyanatá;HNCO
kyselina jodičná;HIO3
kyselina jodovodíková;HI
kyselina křemičitá;H2SiO3
kyselina trioxokřemičitá;
kyselina dihydrogenkřemičitá;
kyselina kyanatá;HOCN
kyselina kyanovodíková;HCN
kyselina molybdenová;H2MoO4
kyselina nitroxylová;H2NO2
kyselina peroxodisírová;H2S2O8
kyselina dihydrogenperoxodisírová;
kyselina peroxodusičná;HNO4
kyselina peroxodusitá;HNO3
kyselina peroxosírová;H2SO5
kyselina seleničitá;H2SeO3
kyselina selenová;H2SeO4
kyselina sírová;H2SO4
kyselina tetraoxosírová;
kyselina dihydrogensírová;
kyselina sirovodíková;H2S
kyselina siřičitá;H2SO3
kyselina trioxosiřičitá;
kyselina dihydrogensiřičitá;
kyselina telluričitá;H2TeO3
kyselina tellurová;H2TeO4
kyselina tetraoxotellurová;
kyselina dihydrogentellurová;
kyselina tetrahydrogenperoxodifosforečná;H4P2O8
kyselina tetraoxoarseničná;H3AsO4
kyselina trihydrogenarseničná;
kyselina tetraoxofosforečná;H3PO4
kyselina trihydrogenfosforečná;
kyselina tetraoxokřemičitá;H4SiO4
kyselina tetrahydrogenkřemičitá;
kyselina tetrathioarseničná;H3AsS4
kyselina thiokyanatá;HSCN
kyselina thiosírová;H2S2O3
kyselina trihydrogenperoxofosforečná;H3PO5
kyselina trioxoboritá;H3BO3
kyselina trihydrogenboritá;
kyselina trioxofosforitá;H3PO3
kyselina trihydrogenfosforitá;
kyselina trithiocíničitá;H2SnS3
kyselina trithiouhličitá;H2CS3
kyselina uhličitá;H2CO3
kyselina wolframová;H2WO4
kyslík;O
lanthan;La
lawrencium;Lr
lithium;Li
lutecium;Lu
mangan;Mn
manganan barnatý;BaMnO4
tetraoxomanganan barnatý;
manganan draselný;K2MnO4
manganan didraselný;
tetraoxomanganan draselný;
tetraoxomanganan didraselný;
manganičitan lithný;Li2MnO3
manganičitan dilithný;
trioxomanganičitan lithný;
trioxomanganičitan dilithný;
manganičnan tridraselný;K3MnO4
tetraoxomanganičnan draselný;
tetraoxomanganičnan tridraselný;
manganistan amonný;NH4MnO4
tetraoxomanganistan amonný;
manganistan barnatý;Ba(MnO4)2
tetraoxomanganistan barnatý;
bis(manganistan) barnatý;
manganistan cesný;CsMnO4
tetraoxomanganistan cesný;
manganistan draselný;KMnO4
tetraoxomanganistan draselný;
manganistan rubidný;RbMnO4
tetraoxomanganistan rubidný;
manganistan stříbrný;AgMnO4
tetraoxomanganistan stříbrný;
měď;Cu
meitnerium;Mt
mendelevium;Md
molybden;Mo
molybdenan amonný;(NH4)2MoO4
molybdenan diamonný;
tetraoxomolybdenan amonný;
tetraoxomolybdenan diamonný;
molybdenan ceritý;Ce2(MoO4)3
molybdenan diceritý;
tetraoxomolybdenan ceritý;
tetraoxomolybdenan diceritý;
tris(molybdenan) ceritý;
tris(molybdenan) diceritý;
molybdenan cesný;Cs2MoO4
molybdenan dicesný;
tetraoxomolybdenan cesný;
tetraoxomolybdenan dicesný;
molybdenan draselný;K2MoO4
molybdenan didraselný;
tetraoxomolybdenan draselný;
tetraoxomolybdenan didraselný;
molybdenan dysprositý;Dy2(MoO4)3
molybdenan didysprositý;
tetraoxomolybdenan dysprositý;
tetraoxomolybdenan didysprositý;
tris(molybdenan) dysprositý;
tris(molybdenan) didysprositý;
molybdenan erbitý;Er2(MoO4)3
molybdenan dierbitý;
tetraoxomolybdenan erbitý;
tetraoxomolybdenan dierbitý;
tris(molybdenan) erbitý;
tris(molybdenan) dierbitý;
molybdenan europitý;Eu2(MoO4)3
molybdenan dieuropitý;
tetraoxomolybdenan europitý;
tetraoxomolybdenan dieuropitý;
tris(molybdenan) europitý;
tris(molybdenan) dieuropitý;
molybdenan gadolinitý;Gd2(MoO4)3
molybdenan digadolinitý;
tetraoxomolybdenan gadolinitý;
tetraoxomolybdenan digadolinitý;
tris(molybdenan) gadolinitý;
tris(molybdenan) digadolinitý;
molybdenan hlinitý;Al2(MoO4)3
molybdenan dihlinitý;
tetraoxomolybdenan hlinitý;
tetraoxomolybdenan dihlinitý;
tris(molybdenan) hlinitý;
tris(molybdenan) dihlinitý;
molybdenan holmitý;Ho2(MoO4)3
molybdenan diholmitý;
tetraoxomolybdenan holmitý;
tetraoxomolybdenan diholmitý;
tris(molybdenan) holmitý;
tris(molybdenan) diholmitý;
molybdenan hořečnatý;MgMoO4
tetraoxomolybdenan hořečnatý;
molybdenan kademnatý;CdMoO4
tetraoxomolybdenan kademnatý;
molybdenan lanthanitý;La2(MoO4)3
molybdenan dilanthanitý;
tetraoxomolybdenan lanthanitý;
tetraoxomolybdenan dilanthanitý;
tris(molybdenan) lanthanitý;
tris(molybdenan) dilanthanitý;
molybdenan lithný;Li2MoO4
molybdenan dilithný;
tetraoxomolybdenan lithný;
tetraoxomolybdenan dilithný;
molybdenan manganatý;MnMoO4
tetraoxomolybdenan manganatý;
molybdenan neodymitý;Nd2(MoO4)3
molybdenan dineodymitý;
tetraoxomolybdenan neodymitý;
tetraoxomolybdenan dineodymitý;
tris(molybdenan) neodymitý;
tris(molybdenan) dineodymitý;
molybdenan olovnatý;PbMoO4
tetraoxomolybdenan olovnatý;
molybdenan praseodymitý;Pr2(MoO4)3
molybdenan dipraseodymitý;
tetraoxomolybdenan praseodymitý;
tetraoxomolybdenan dipraseodymitý;
tris(molybdenan) praseodymitý;
tris(molybdenan) dipraseodymitý;
molybdenan rubidný;Rb2MoO4
molybdenan dirubidný;
tetraoxomolybdenan rubidný;
tetraoxomolybdenan dirubidný;
molybdenan samaritý;Sm2(MoO4)3
molybdenan disamaritý;
tetraoxomolybdenan samaritý;
tetraoxomolybdenan disamaritý;
tris(molybdenan) samaritý;
tris(molybdenan) disamaritý;
molybdenan skanditý;Sc2(MoO4)3
molybdenan diskanditý;
tetraoxomolybdenan skanditý;
tetraoxomolybdenan diskanditý;
tris(molybdenan) skanditý;
tris(molybdenan) diskanditý;
molybdenan sodný;Na2MoO4
molybdenan disodný;
tetraoxomolybdenan sodný;
tetraoxomolybdenan disodný;
molybdenan stříbrný;Ag2MoO4
molybdenan distříbrný;
tetraoxomolybdenan stříbrný;
tetraoxomolybdenan distříbrný;
molybdenan terbitý;Tb2(MoO4)3
molybdenan diterbitý;
tetraoxomolybdenan terbitý;
tetraoxomolybdenan diterbitý;
tris(molybdenan) terbitý;
tris(molybdenan) diterbitý;
molybdenan thallný;Tl2MoO4
molybdenan dithallný;
tetraoxomolybdenan thallný;
tetraoxomolybdenan dithallný;
molybdenan vápenatý;CaMoO4
tetraoxomolybdenan vápenatý;
molybdenan yttritý;Y2(MoO4)3
molybdenan diyttritý;
tetraoxomolybdenan yttritý;
tetraoxomolybdenan diyttritý;
tris(molybdenan) yttritý;
tris(molybdenan) diyttritý;
monohydrát bromičnanu barnatého;Ba(BrO3)2.H2O
monohydrát trioxobromičnanu barnatého;
bis(bromičnan) barnatý monohydrát;
monohydrát bromičnanu olovnatého;Pb(BrO3)2.H2O
monohydrát trioxobromičnanu olovnatého;
